"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Scarodytes nigriventris )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	8212	"Scarodytes nigriventris"	"Scarodytes nigriventris (Zimmermann, 1919)"	""													"Déterminante"
"-  ( Stictonectes rufulus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	8234	"Stictonectes rufulus"	"Stictonectes rufulus (Aubé, 1838)"	""													"Déterminante"
"*  Carabe de Solier  ( Carabus solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8470	"Carabus solieri"	"Carabus solieri Dejean, 1826"	"Carabe de Solier"							"NI3"	""					
"*  -  ( Carabus solieri clairi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8476	"Carabus solieri clairi"	"Carabus solieri clairi Géhin, 1885"	""							"NI3"	""					
"*  -  ( Carabus solieri solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8482	"Carabus solieri solieri"	"Carabus solieri solieri Dejean, 1826"	""							"NI3"	""					
"-  ( Nebria lareyniei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8511	"Nebria lareyniei"	"Nebria lareyniei Fairmaire, 1858"	""													"Déterminante"
"*  -  ( Aphaenops bucephalus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8750	"Aphaenops bucephalus"	"Aphaenops bucephalus (Dieck, 1869)"	""							"NI3"	""					
"*  -  ( Aphaenops jeanneli )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8754	"Aphaenops jeanneli"	"Aphaenops jeanneli (Abeille de Perrin, 1905)"	""							"NI3"	""					
"*  Aphaenops de Leschenault  ( Aphaenops leschenaulti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8755	"Aphaenops leschenaulti"	"Aphaenops leschenaulti Bonvouloir, 1862"	"Aphaenops de Leschenault"							"NI3"	""					
"*  Aphaenops de Loubens  ( Aphaenops loubensi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8756	"Aphaenops loubensi"	"Aphaenops loubensi Jeannel, 1953"	"Aphaenops de Loubens"							"NI3"	""					
"*  Hydraphaenops basque  ( Aphaenops vasconicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8757	"Aphaenops vasconicus"	"Aphaenops vasconicus Jeannel, 1913"	"Hydraphaenops basque"							"NI3"	""					
"-  ( Percus corsicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9160	"Percus corsicus"	"Percus corsicus Audinet-Serville, 1821"	""													"Déterminante"
"-  ( Percus grandicollis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9161	"Percus grandicollis"	"Percus grandicollis (Audinet-Serville, 1821)"	""													"Déterminante"
"-  ( Percus reichei )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9163	"Percus reichei"	"Percus reichei (Kraatz, 1858)"	""													"Déterminante"
"-  ( Harpalus bellieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	9303	"Harpalus bellieri"	"Harpalus bellieri Reiche, 1861"	""													"Déterminante"
"-  ( Agabus bipustulatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9524	"Agabus bipustulatus"	"Agabus bipustulatus (Linnaeus, 1767)"	""													"Déterminante"
