"Nom"	"PHYLUM"	"CLASSE"	"ORDRE"	"FAMILLE"	"CD_REF"	"LB_NOM"	"NOM_VALIDE"	"NOM_VERN"	"LRN"	"LRN_det"	"LRR"	"LRR_det"	"DH"	"DH_det"	"PN"	"PN_det"	"PR"	"PR_det"	"PD"	"PD_det"	"ZNIEFF"
"-  ( Protaetia fieberi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Scarabaeidae"	7870	"Protaetia fieberi"	"Potosia fieberi (Kraatz, 1880)"	""			"LC"	""									
"Chevrette bleue  ( Platycerus caraboides )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Lucanidae"	8282	"Platycerus caraboides"	"Platycerus caraboides (Linnaeus, 1758)"	"Chevrette bleue, Petit Lucane à allure de carabe"			"LC"	""									
"Chrysomèle à gros ventre  ( Gastrophysa viridula )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	8286	"Gastrophysa viridula"	"Gastrophysa viridula (De Geer, 1775)"	"Chrysomèle à gros ventre"			"LC"	""									
"-  ( Gonioctena pallida )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	8288	"Gonioctena pallida"	"Gonioctena pallida (Linnaeus, 1758)"	""			"VU"	"D2"									"Déterminante"
"Doryphore  ( Leptinotarsa decemlineata )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Chrysomelidae"	8290	"Leptinotarsa decemlineata"	"Leptinotarsa decemlineata (Say, 1824)"	"Doryphore (Le)"			"NA"	""									
"Cicindèle hybride  ( Cicindela hybrida )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8326	"Cicindela hybrida"	"Cicindela hybrida Linnaeus, 1758"	"Cicindèle hybride"													"Déterminante"
"Carabe d'Ispagnac  ( Carabus hispanus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8391	"Carabus hispanus"	"Carabus hispanus Fabricius, 1787"	"Carabe d'Ispagnac"													"Déterminante"
"Carabe perlé  ( Carabus monilis )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8402	"Carabus monilis"	"Carabus monilis Fabricius, 1792"	"Carabe perlé"													"Déterminante"
"*  Carabe de Solier  ( Carabus solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8470	"Carabus solieri"	"Carabus solieri Dejean, 1826"	"Carabe de Solier"							"NI3"	""					
"*  -  ( Carabus solieri clairi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8476	"Carabus solieri clairi"	"Carabus solieri clairi Géhin, 1885"	""							"NI3"	""					
"*  -  ( Carabus solieri solieri )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8482	"Carabus solieri solieri"	"Carabus solieri solieri Dejean, 1826"	""							"NI3"	""					
"*  -  ( Aphaenops bucephalus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8750	"Aphaenops bucephalus"	"Aphaenops bucephalus (Dieck, 1869)"	""							"NI3"	""					
"*  -  ( Aphaenops jeanneli )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8754	"Aphaenops jeanneli"	"Aphaenops jeanneli (Abeille de Perrin, 1905)"	""							"NI3"	""					
"*  Aphaenops de Leschenault  ( Aphaenops leschenaulti )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8755	"Aphaenops leschenaulti"	"Aphaenops leschenaulti Bonvouloir, 1862"	"Aphaenops de Leschenault"							"NI3"	""					
"*  Aphaenops de Loubens  ( Aphaenops loubensi )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8756	"Aphaenops loubensi"	"Aphaenops loubensi Jeannel, 1953"	"Aphaenops de Loubens"							"NI3"	""					
"*  Hydraphaenops basque  ( Aphaenops vasconicus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Carabidae"	8757	"Aphaenops vasconicus"	"Aphaenops vasconicus Jeannel, 1913"	"Hydraphaenops basque"							"NI3"	""					
"*  Graphodère à deux lignes  ( Graphoderus bilineatus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9562	"Graphoderus bilineatus"	"Graphoderus bilineatus (de Geer, 1774)"	"Graphodère à deux lignes"					"CDH4, CDH2"	" "	"NI2"	""					
"*  Grand dytique  ( Dytiscus latissimus )"	"Arthropoda"	"Insecta"	"Coleoptera"	"Dytiscidae"	9569	"Dytiscus latissimus"	"Dytiscus latissimus Linnaeus, 1758"	"Grand dytique"					"CDH4, CDH2"	" "	"NI2"	""					
